iid	title	uri
000100039X	The.*Prophet	http://dbpedia.org/resource/The_Prophet_(book)
0002005395	Deafening	http://dbpedia.org/resource/Deafening_(novel)
0002051850	For.*Whom.*the.*Bell.*Tolls	http://dbpedia.org/resource/For_Whom_the_Bell_Tolls
0002219417	The.*Winds.*of.*War	http://dbpedia.org/resource/The_Winds_of_War
0002178559	Demanding.*the.*Impossible\:.*A.*History.*of.*Anarchism	http://dbpedia.org/resource/Demanding_the_Impossible
0002222590	The.*Golden.*Gate	http://dbpedia.org/resource/The_Golden_Gate_(MacLean_novel)
0002222590	The.*Golden.*Gate	http://dbpedia.org/resource/The_Golden_Gate_(Seth_novel)
0002242052	Without.*Remorse	http://dbpedia.org/resource/Without_Remorse
0002247399	A.*Dance.*with.*Dragons	http://dbpedia.org/resource/A_Dance_with_Dragons
0002311216	Passenger.*to.*Frankfurt	http://dbpedia.org/resource/Passenger_to_Frankfurt
000255383X	Latin.*for.*All.*Occasions	http://dbpedia.org/resource/Latin_for_All_Occasions
000612609X	The.*Long.*Ships	http://dbpedia.org/resource/The_Long_Ships
0006161413	Ice.*Station.*Zebra	http://dbpedia.org/resource/Ice_Station_Zebra_(novel)
0006171044	The.*Hound.*of.*Death	http://dbpedia.org/resource/The_Hound_of_Death
0006158056	Breakheart.*Pass	http://dbpedia.org/resource/Breakheart_Pass_(novel)
0006162592	The.*Golden.*Rendezvous	http://dbpedia.org/resource/The_Golden_Rendezvous
0006175015	Bloodline	http://dbpedia.org/resource/Bloodline_(Repairman_Jack_novel)
0006175015	Bloodline	http://dbpedia.org/resource/Bloodline_(Cary_novel)
0006175015	Bloodline	http://dbpedia.org/resource/Bloodline_(Sheldon_novel)
0006175015	Bloodline	http://dbpedia.org/resource/Bloodline_(Wilson_novel)
0006176550	McAuslan.*in.*the.*Rough	http://dbpedia.org/resource/McAuslan_in_the_Rough
0006176909	House.*of.*Cards	http://dbpedia.org/resource/House_of_Cards_(Cohan_book)
0006353282	An.*Autobiography	http://dbpedia.org/resource/An_Autobiography_(Nehru)
000617681X	The.*General.*Danced.*at.*Dawn	http://dbpedia.org/resource/The_General_Danced_at_Dawn
0006476155	Along.*Came.*a.*Spider	http://dbpedia.org/resource/Along_Came_a_Spider
0006479286	On.*the.*Edge.*of.*Darkness	http://dbpedia.org/resource/On_the_Edge_of_the_Dark_Sea_of_Darkness
0006482821	Our.*friends.*from.*Frolix.*8	http://dbpedia.org/resource/Our_Friends_from_Frolix_8
0006477097	The.*Final.*Cut	http://dbpedia.org/resource/The_Final_Cut_(Judge_Dredd_novel)
0006482791	We.*Can.*Build.*You	http://dbpedia.org/resource/We_Can_Build_You
0006498000	Winston's.*War	http://dbpedia.org/resource/Winston's_War
0006512666	Only.*Forward	http://dbpedia.org/resource/Only_Forward
0006499945	Rough.*Justice	http://dbpedia.org/resource/Rough_Justice_(novel)
0006530702	From.*Beirut.*to.*Jerusalem	http://dbpedia.org/resource/From_Beirut_to_Jerusalem
0006512275	Tied.*Up.*in.*Tinsel	http://dbpedia.org/resource/Tied_Up_in_Tinsel
0006544150	In.*Xanadu	http://dbpedia.org/resource/In_Xanadu
0006550436	The.*Bonesetter's.*Daughter	http://dbpedia.org/resource/The_Bonesetter's_Daughter
0006551807	The.*Namesake	http://dbpedia.org/resource/The_Namesake
0006755216	Eight.*Days.*of.*Luke	http://dbpedia.org/resource/Eight_Days_of_Luke
0007103417	Leadership.*and.*the.*One.*Minute.*Manager	http://dbpedia.org/resource/The_One_Minute_Manager
0007116055	The.*Devil.*and.*Miss.*Prym	http://dbpedia.org/resource/The_Devil_and_Miss_Prym
