iid	title	uri
0615115187	George.*Lucas.*in.*Love	http://dbpedia.org/resource/George_Lucas_in_Love
0767804325	Absence.*of.*Malice	http://dbpedia.org/resource/Absence_of_Malice
0767805712	Gattaca	http://dbpedia.org/resource/Gattaca
0767808673	Spice.*World	http://dbpedia.org/resource/Spice_World_(film)
0767817486	Midnight.*Express	http://dbpedia.org/resource/Midnight_Express_(book)
0767817486	Midnight.*Express	http://dbpedia.org/resource/Midnight_Express_(film)
0767809726	No.*Mercy	http://dbpedia.org/resource/No_Mercy_(film)
0767809726	No.*Mercy	http://dbpedia.org/resource/No_Mercy_(1986_film)
0767809726	No.*Mercy	http://dbpedia.org/resource/No_Mercy_(2010_film)
0767809726	No.*Mercy	http://dbpedia.org/resource/No_Mercy_(2019_film)
0767817648	Blue.*Thunder	http://dbpedia.org/resource/Blue_Thunder
0767817648	Blue.*Thunder	http://dbpedia.org/resource/Blue_Thunder_(2015_film)
0767818105	Roxanne	http://dbpedia.org/resource/Roxanne_(film)
0767817664	Fright.*Night	http://dbpedia.org/resource/Fright_Night
0767817664	Fright.*Night	http://dbpedia.org/resource/Fright_Night_(1947_film)
0767817664	Fright.*Night	http://dbpedia.org/resource/Fright_Night_(2011_film)
0767817664	Fright.*Night	http://dbpedia.org/resource/Fright_Night_(franchise)
0767824555	Hard.*Times	http://dbpedia.org/resource/Hard_Times_(1915_film)
0767824555	Hard.*Times	http://dbpedia.org/resource/Hard_Times_(1975_film)
0767824555	Hard.*Times	http://dbpedia.org/resource/Hard_Times_(1988_film)
0767824555	Hard.*Times	http://dbpedia.org/resource/Hard_Times_(2005_film)
0767821807	Pal.*Joey	http://dbpedia.org/resource/Pal_Joey_(film)
0767827686	Iron.*Eagle	http://dbpedia.org/resource/Iron_Eagle
0767817737	The.*Seventh.*Sign	http://dbpedia.org/resource/The_Seventh_Sign
0767824571	Monty.*Python.*and.*the.*Holy.*Grail	http://dbpedia.org/resource/Monty_Python_and_the_Holy_Grail
0767821408	Bottle.*Rocket	http://dbpedia.org/resource/Bottle_Rocket
0767803434	Air.*Force.*One	http://dbpedia.org/resource/Air_Force_One_(film)
0767834739	Resident.*Evil\:.*Apocalypse	http://dbpedia.org/resource/Resident_Evil:_Apocalypse
0767836359	A.*River.*Runs.*Through.*It	http://dbpedia.org/resource/A_River_Runs_Through_It_(film)
0767850823	Gen\-X.*Cops	http://dbpedia.org/resource/Gen-X_Cops
076785344X	Girl	http://dbpedia.org/resource/Girl_(film)
076785344X	Girl	http://dbpedia.org/resource/Girl_(1994_film)
076785344X	Girl	http://dbpedia.org/resource/Girl_(disambiguation)
076785344X	Girl	http://dbpedia.org/resource/Girl_(1998_film)
076785344X	Girl	http://dbpedia.org/resource/Girl_(2018_film)
076785344X	Girl	http://dbpedia.org/resource/Girl_(2020_film)
0767839277	The.*Adventures.*of.*Elmo.*in.*Grouchland	http://dbpedia.org/resource/The_Adventures_of_Elmo_in_Grouchland
0767821610	Eyes.*of.*Laura.*Mars	http://dbpedia.org/resource/Eyes_of_Laura_Mars
0767853636	Annie	http://dbpedia.org/resource/Annie_(1976_film)
0767853636	Annie	http://dbpedia.org/resource/Annie_(1982_film)
0767853636	Annie	http://dbpedia.org/resource/Annie_(1999_film)
0767853636	Annie	http://dbpedia.org/resource/Annie_(2014_film)
0780021088	The.*Naked.*Kiss	http://dbpedia.org/resource/The_Naked_Kiss
0780021932	The.*Wages.*of.*Fear	http://dbpedia.org/resource/The_Wages_of_Fear
0780022319	For.*All.*Mankind	http://dbpedia.org/resource/For_All_Mankind
0780022319	For.*All.*Mankind	http://dbpedia.org/resource/For_All_Mankind_(film)
0780022386	The.*Unbearable.*Lightness.*of.*Being	http://dbpedia.org/resource/The_Unbearable_Lightness_of_Being_(film)
0780023099	Le.*Million	http://dbpedia.org/resource/Le_Million
0780630874	A.*Nightmare.*on.*Elm.*Street.*4\:.*The.*Dream.*Master	http://dbpedia.org/resource/A_Nightmare_on_Elm_Street_4:_The_Dream_Master
0782010040	Sands.*of.*Iwo.*Jima	http://dbpedia.org/resource/Sands_of_Iwo_Jima
078201061X	The.*Jazz.*Singer	http://dbpedia.org/resource/The_Jazz_Singer
078201061X	The.*Jazz.*Singer	http://dbpedia.org/resource/The_Jazz_Singer_(1952_film)
078201061X	The.*Jazz.*Singer	http://dbpedia.org/resource/The_Jazz_Singer_(1980_film)
